Front,Back,__CardTemplates,__CreateTimeUTC,__ModifiedTimeUTC
Drop Out,Drop out in immunization refers to the percentage of children who start an immunization series but do not complete it.,,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Disinfection,"Thermal and chemical destruction of pathogen and other types of microorganism. Disinfection is less lethal than sterilization because it destroys most recognized pathogenic microorganisms but not necessarily all microbial forms (e.g., bacterial spores).",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Sterilization,"Validated process used to render a product free of all forms of viable microorganisms including bacterial spores. Sterilizer is the apparatus used to serialize medical devices, equipment or supplies by direct exposure to the sterilizing agent.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Food,"Food is a composite mixture of substances which when consumed performs certain functions in the body, i.e. a. give energy, b. building and maintaining body, c. protecting from infection, and d. regulate tissue function.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Nutrition,"Nutrition is the science of foods; the nutrients and other substances in foods; their actions, interaction and balance in relation to diet, health and diseases.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Malnutrition,Malnutrition has been defined as 'a pathological state resulting from a relative or absolute deficiency or excess of one or more essential nutrients'.,,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Balanced Diet,"A Balanced Diet is a diet that contains all the essential nutrients- carbohydrates, proteins, fats, vitamins, minerals, water, and fiber-in the right amounts to keep the body healthy and strong.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Biologically complete protein,"""Biologically complete"" protein is one which contains all the EAAS (essential amino acids) in amounts corresponding to humans needs.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Biologically incomplete protein,"""Biologically incomplete"" protein is one when one or more of the EAA (essential amino acid) are absent.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Vitamins,"Definition- BF Vitamins are organic chemical compounds that are required in small quantities for a variety of biochemical functions, which generally cannot be synthesized by the body & must be supplied with diet.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Statistics,"It is the science that deals with collection, organization, analysis and interpretation of data.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Biostatistics,"coae Biostatistics: is a special branch of tatostios deds è difhut tyks of deite It is the branch of statistics that deals with the application of statistical principles in life science (biological Science) e.g biology, medicine and pertain public health. to broly A",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Data,Definition: - Data are a set of values'or information about a variable that is measured or recorded on study subjects.,,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
